cxcfile-hobbit24hour,image name-24hour,cellnum24hour,slice24hour,sumhobbit24hour,maxhobbit24hour,sumdilatedhobbit24hour,maxdilatedhobbit24hour,area24hour,sumlinc24hour,maxlinc24hour,sumdilatedlinc24hour,maxdilatedlinc24hour,url24hour
5,24hour-5.png,15,8,190096.83,2472.1206,525148.6,5317.713,102.567,193487.03,1899.3275,341373.5,2232.1365,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,16,15,22522.758,1967.8893,157085.27,5615.7085,105.448,123344.42,1962.3329,150099.06,1962.3329,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
5,24hour-5.png,17,22,606532.4,7290.324,1176207.9,8577.348,158.858,578600.6,3632.5588,671069.5,3632.5588,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-5.png
6,24hour-6.png,1,22,1643756.5,9520.117,2188785.8,9520.117,177.576,590985.5,2630.444,1535878.5,14994.785,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,2,19,2259762.8,7274.317,2508188.2,7274.317,176.165,1681661.5,10020.712,1974440.5,10020.712,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,3,18,1076193.2,7597.0947,1289382,7597.0947,151.861,1467118,13098.805,2075976.5,13098.805,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,4,10,42551.64,2236.6013,226734.55,3863.3174,147.941,65242.273,1950.8423,119055.016,1950.8423,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,5,6,938733.2,6123.7734,1510669.4,6866.4517,144.628,1182223.6,8131.0474,1710856.6,10060.841,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,6,7,2077153.5,8845.1,3195463,8845.1,193.276,1854071.4,8345.184,2675327.2,8345.184,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
6,24hour-6.png,7,21,1419223.1,7365.943,1909893.6,7365.943,170.775,651826.6,5695.462,1410537.6,8962.095,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-6.png
